"","admit","gre","gpa","rank"
"1082",0,360,3.27,3
"1083",0,660,3.45,4
"1084",0,520,3.1,4
"1085",1,440,3.39,2
"1086",0,600,3.31,4
"1087",1,800,3.22,1
"1088",1,660,3.7,4
"1089",0,800,3.15,4
"1090",0,420,2.26,4
"1091",1,620,3.45,2
"1092",0,800,2.78,2
"1093",0,680,3.7,2
"1094",0,800,3.97,1
"1095",0,480,2.55,1
"1096",0,520,3.25,3
"1097",0,560,3.16,1
"1098",0,460,3.07,2
"1099",0,540,3.5,2
"1100",0,720,3.4,3
"1101",0,640,3.3,2
"1102",1,660,3.6,3
"1103",1,400,3.15,2
"1104",1,680,3.98,2
"1105",0,220,2.83,3
"1106",0,580,3.46,4
"1107",1,540,3.17,1
"1108",0,580,3.51,2
"1109",0,540,3.13,2
"1110",0,440,2.98,3
"1111",0,560,4,3
"1112",0,660,3.67,2
"1113",0,660,3.77,3
"1114",1,520,3.65,4
"1115",0,540,3.46,4
"1116",1,300,2.84,2
"1117",1,340,3,2
"1118",1,780,3.63,4
"1119",1,480,3.71,4
"1120",0,540,3.28,1
"1121",0,460,3.14,3
"1122",0,460,3.58,2
"1123",0,500,3.01,4
"1124",0,420,2.69,2
"1125",0,520,2.7,3
"1126",0,680,3.9,1
"1127",0,680,3.31,2
"1128",1,560,3.48,2
"1129",0,580,3.34,2
"1130",0,500,2.93,4
"1131",0,740,4,3
"1132",0,660,3.59,3
"1133",0,420,2.96,1
"1134",0,560,3.43,3
"1135",1,460,3.64,3
"1136",1,620,3.71,1
"1137",0,520,3.15,3
"1138",0,620,3.09,4
"1139",0,540,3.2,1
"1140",1,660,3.47,3
"1141",0,500,3.23,4
"1142",1,560,2.65,3
"1143",0,500,3.95,4
"1144",0,580,3.06,2
"1145",0,520,3.35,3
"1146",0,500,3.03,3
"1147",0,600,3.35,2
"1148",0,580,3.8,2
"1149",0,400,3.36,2
"1150",0,620,2.85,2
"1151",1,780,4,2
"1152",0,620,3.43,3
"1153",1,580,3.12,3
"1154",0,700,3.52,2
"1155",1,540,3.78,2
"1156",1,760,2.81,1
"1157",0,700,3.27,2
"1158",0,720,3.31,1
"1159",1,560,3.69,3
"1160",0,720,3.94,3
"1161",1,520,4,1
"1162",1,540,3.49,1
"1163",0,680,3.14,2
"1164",0,460,3.44,2
"1165",1,560,3.36,1
"1166",0,480,2.78,3
"1167",0,460,2.93,3
"1168",0,620,3.63,3
"1169",0,580,4,1
"1170",0,800,3.89,2
"1171",1,540,3.77,2
"1172",1,680,3.76,3
"1173",1,680,2.42,1
"1174",1,620,3.37,1
"1175",0,560,3.78,2
"1176",0,560,3.49,4
"1177",0,620,3.63,2
"1178",1,800,4,2
"1179",0,640,3.12,3
"1180",0,540,2.7,2
"1181",0,700,3.65,2
"1182",1,540,3.49,2
"1183",0,540,3.51,2
"1184",0,660,4,1
"1185",1,480,2.62,2
"1186",0,420,3.02,1
"1187",1,740,3.86,2
"1188",0,580,3.36,2
"1189",0,640,3.17,2
"1190",0,640,3.51,2
"1191",1,800,3.05,2
"1192",1,660,3.88,2
"1193",1,600,3.38,3
"1194",1,620,3.75,2
"1195",1,460,3.99,3
"1196",0,620,4,2
"1197",0,560,3.04,3
"1198",0,460,2.63,2
"1199",0,700,3.65,2
"1200",0,600,3.89,3
"1201",0,380,3.61,3
"1202",1,660,3.67,3
"1203",1,800,4,1
"1204",1,640,3.19,4
"1205",0,520,2.93,4
"1206",1,760,3,2
"1207",1,560,2.98,1
"1208",0,400,3.08,2
"1209",1,540,3.39,3
"1210",0,700,3.92,2
"1211",0,800,4,4
"1212",0,440,3.22,1
"1213",1,760,4,1
"1214",0,700,3.08,2
"1215",1,700,4,1
"1216",0,480,3.44,3
"1217",0,780,3.87,4
"1218",0,360,2.56,3
"1219",0,800,3.75,2
"1220",1,540,3.81,1
"1221",0,500,3.17,3
"1222",1,660,3.63,2
"1223",0,600,2.82,4
"1224",0,680,3.19,4
"1225",1,760,3.35,2
"1226",1,800,3.66,1
"1227",1,620,3.61,1
"1228",1,520,3.74,4
"1229",1,780,3.22,2
"1230",0,520,3.29,1
"1231",0,540,3.78,4
"1232",0,760,3.35,3
"1233",0,600,3.4,3
"1234",1,800,4,3
"1235",0,360,3.14,1
"1236",0,400,3.05,2
"1237",0,580,3.25,1
"1238",0,520,2.9,3
"1239",1,500,3.13,2
"1240",1,520,2.68,3
"1241",0,560,2.42,2
"1242",1,580,3.32,2
"1243",1,600,3.15,2
"1244",0,500,3.31,3
"1245",0,700,2.94,2
"1246",1,460,3.45,3
"1247",1,580,3.46,2
"1248",0,500,2.97,4
"1249",0,440,2.48,4
"1250",0,400,3.35,3
"1251",0,640,3.86,3
"1252",0,440,3.13,4
"1253",0,740,3.37,4
"1254",1,680,3.27,2
"1255",0,660,3.34,3
"1256",1,740,4,3
"1257",0,560,3.19,3
"1258",0,380,2.94,3
"1259",0,400,3.65,2
"1260",0,600,2.82,4
"1261",1,620,3.18,2
"1262",0,560,3.32,4
"1263",0,640,3.67,3
"1264",1,680,3.85,3
"1265",0,580,4,3
"1266",0,600,3.59,2
"1267",0,740,3.62,4
"1268",0,620,3.3,1
"1269",0,580,3.69,1
"1270",0,800,3.73,1
"1271",0,640,4,3
"1272",0,300,2.92,4
"1273",0,480,3.39,4
"1274",0,580,4,2
"1275",0,720,3.45,4
"1276",0,720,4,3
"1277",0,560,3.36,3
"1278",1,800,4,3
"1279",0,540,3.12,1
"1280",1,620,4,1
"1281",0,700,2.9,4
"1282",0,620,3.07,2
"1283",0,500,2.71,2
"1284",0,380,2.91,4
"1285",1,500,3.6,3
"1286",0,520,2.98,2
"1287",0,600,3.32,2
"1288",0,600,3.48,2
"1289",0,700,3.28,1
"1290",1,660,4,2
"1291",0,700,3.83,2
"1292",1,720,3.64,1
"1293",0,800,3.9,2
"1294",0,580,2.93,2
"1295",1,660,3.44,2
"1296",0,660,3.33,2
"1297",0,640,3.52,4
"1298",0,480,3.57,2
"1299",0,700,2.88,2
"1300",0,400,3.31,3
"1301",0,340,3.15,3
"1302",0,580,3.57,3
"1303",0,380,3.33,4
"1304",0,540,3.94,3
"1305",1,660,3.95,2
"1306",1,740,2.97,2
"1307",1,700,3.56,1
"1308",0,480,3.13,2
"1309",0,400,2.93,3
"1310",0,480,3.45,2
"1311",0,680,3.08,4
"1312",0,420,3.41,4
"1313",0,360,3,3
"1314",0,600,3.22,1
"1315",0,720,3.84,3
"1316",0,620,3.99,3
"1317",1,440,3.45,2
"1318",0,700,3.72,2
"1319",1,800,3.7,1
"1320",0,340,2.92,3
"1321",1,520,3.74,2
"1322",1,480,2.67,2
"1323",0,520,2.85,3
"1324",0,500,2.98,3
"1325",0,720,3.88,3
"1326",0,540,3.38,4
"1327",1,600,3.54,1
"1328",0,740,3.74,4
"1329",0,540,3.19,2
"1330",0,460,3.15,4
"1331",1,620,3.17,2
"1332",0,640,2.79,2
"1333",0,580,3.4,2
"1334",0,500,3.08,3
"1335",0,560,2.95,2
"1336",0,500,3.57,3
"1337",0,560,3.33,4
"1338",0,700,4,3
"1339",0,620,3.4,2
"1340",1,600,3.58,1
"1341",0,640,3.93,2
"1342",1,700,3.52,4
"1343",0,620,3.94,4
"1344",0,580,3.4,3
"1345",0,580,3.4,4
"1346",0,380,3.43,3
"1347",0,480,3.4,2
"1348",0,560,2.71,3
"1349",1,480,2.91,1
"1350",0,740,3.31,1
"1351",1,800,3.74,1
"1352",0,400,3.38,2
"1353",1,640,3.94,2
"1354",0,580,3.46,3
"1355",0,620,3.69,3
"1356",1,580,2.86,4
"1357",0,560,2.52,2
"1358",1,480,3.58,1
"1359",0,660,3.49,2
"1360",0,700,3.82,3
"1361",0,600,3.13,2
"1362",0,640,3.5,2
"1363",1,700,3.56,2
"1364",0,520,2.73,2
"1365",0,580,3.3,2
"1366",0,700,4,1
"1367",0,440,3.24,4
"1368",0,720,3.77,3
"1369",0,500,4,3
"1370",0,600,3.62,3
"1371",0,400,3.51,3
"1372",0,540,2.81,3
"1373",0,680,3.48,3
"1374",1,800,3.43,2
"1375",0,500,3.53,4
"1376",1,620,3.37,2
"1377",0,520,2.62,2
"1378",1,620,3.23,3
"1379",0,620,3.33,3
"1380",0,300,3.01,3
"1381",0,620,3.78,3
"1382",0,500,3.88,4
"1383",0,700,4,2
"1384",1,540,3.84,2
"1385",0,500,2.79,4
"1386",0,800,3.6,2
"1387",0,560,3.61,3
"1388",0,580,2.88,2
"1389",0,560,3.07,2
"1390",0,500,3.35,2
"1391",1,640,2.94,2
"1392",0,800,3.54,3
"1393",0,640,3.76,3
"1394",0,380,3.59,4
"1395",1,600,3.47,2
"1396",0,560,3.59,2
"1397",0,660,3.07,3
"1398",1,400,3.23,4
"1399",0,600,3.63,3
"1400",0,580,3.77,4
"1401",0,800,3.31,3
"1402",1,580,3.2,2
"1403",1,700,4,1
"1404",0,420,3.92,4
"1405",1,600,3.89,1
"1406",1,780,3.8,3
"1407",0,740,3.54,1
"1408",1,640,3.63,1
"1409",0,540,3.16,3
"1410",0,580,3.5,2
"1411",0,740,3.34,4
"1412",0,580,3.02,2
"1413",0,460,2.87,2
"1414",0,640,3.38,3
"1415",1,600,3.56,2
"1416",1,660,2.91,3
"1417",0,340,2.9,1
"1418",1,460,3.64,1
"1419",0,460,2.98,1
"1420",1,560,3.59,2
"1421",0,540,3.28,3
"1422",0,680,3.99,3
"1423",1,480,3.02,1
"1424",0,800,3.47,3
"1425",0,800,2.9,2
"1426",1,720,3.5,3
"1427",0,620,3.58,2
"1428",0,540,3.02,4
"1429",0,480,3.43,2
"1430",1,720,3.42,2
"1431",0,580,3.29,4
"1432",0,600,3.28,3
"1433",0,380,3.38,2
"1434",0,420,2.67,3
"1435",1,800,3.53,1
"1436",0,620,3.05,2
"1437",1,660,3.49,2
"1438",0,480,4,2
"1439",0,500,2.86,4
"1440",0,700,3.45,3
"1441",0,440,2.76,2
"1442",1,520,3.81,1
"1443",1,680,2.96,3
"1444",0,620,3.22,2
"1445",0,540,3.04,1
"1446",0,800,3.91,3
"1447",0,680,3.34,2
"1448",0,440,3.17,2
"1449",0,680,3.64,3
"1450",0,640,3.73,3
"1451",0,660,3.31,4
"1452",0,620,3.21,4
"1453",1,520,4,2
"1454",1,540,3.55,4
"1455",1,740,3.52,4
"1456",0,640,3.35,3
"1457",1,520,3.3,2
"1458",1,620,3.95,3
"1459",0,520,3.51,2
"1460",0,640,3.81,2
"1461",0,680,3.11,2
"1462",0,440,3.15,2
"1463",1,520,3.19,3
"1464",1,620,3.95,3
"1465",1,520,3.9,3
"1466",0,380,3.34,3
"1467",0,560,3.24,4
"1468",1,600,3.64,3
"1469",1,680,3.46,2
"1470",0,500,2.81,3
"1471",1,640,3.95,2
"1472",0,540,3.33,3
"1473",1,680,3.67,2
"1474",0,660,3.32,1
"1475",0,520,3.12,2
"1476",1,600,2.98,2
"1477",0,460,3.77,3
"1478",1,580,3.58,1
"1479",1,680,3,4
"1480",1,660,3.14,2
"1481",0,660,3.94,2
"1482",0,360,3.27,3
"1483",0,660,3.45,4
"1484",0,520,3.1,4
"1485",1,440,3.39,2
"1486",0,600,3.31,4
"1487",1,800,3.22,1
"1488",1,660,3.7,4
"1489",0,800,3.15,4
"1490",0,420,2.26,4
"1491",1,620,3.45,2
"1492",0,800,2.78,2
"1493",0,680,3.7,2
"1494",0,800,3.97,1
"1495",0,480,2.55,1
"1496",0,520,3.25,3
"1497",0,560,3.16,1
"1498",0,460,3.07,2
"1499",0,540,3.5,2
"1500",0,720,3.4,3
"1501",0,640,3.3,2
"1502",1,660,3.6,3
"1503",1,400,3.15,2
"1504",1,680,3.98,2
"1505",0,220,2.83,3
"1506",0,580,3.46,4
"1507",1,540,3.17,1
"1508",0,580,3.51,2
"1509",0,540,3.13,2
"1510",0,440,2.98,3
"1511",0,560,4,3
"1512",0,660,3.67,2
"1513",0,660,3.77,3
"1514",1,520,3.65,4
"1515",0,540,3.46,4
"1516",1,300,2.84,2
"1517",1,340,3,2
"1518",1,780,3.63,4
"1519",1,480,3.71,4
"1520",0,540,3.28,1
"1521",0,460,3.14,3
"1522",0,460,3.58,2
"1523",0,500,3.01,4
"1524",0,420,2.69,2
"1525",0,520,2.7,3
"1526",0,680,3.9,1
"1527",0,680,3.31,2
"1528",1,560,3.48,2
"1529",0,580,3.34,2
"1530",0,500,2.93,4
"1531",0,740,4,3
"1532",0,660,3.59,3
"1533",0,420,2.96,1
"1534",0,560,3.43,3
"1535",1,460,3.64,3
"1536",1,620,3.71,1
"1537",0,520,3.15,3
"1538",0,620,3.09,4
"1539",0,540,3.2,1
"1540",1,660,3.47,3
"1541",0,500,3.23,4
"1542",1,560,2.65,3
"1543",0,500,3.95,4
"1544",0,580,3.06,2
"1545",0,520,3.35,3
"1546",0,500,3.03,3
"1547",0,600,3.35,2
"1548",0,580,3.8,2
"1549",0,400,3.36,2
"1550",0,620,2.85,2
"1551",1,780,4,2
"1552",0,620,3.43,3
"1553",1,580,3.12,3
"1554",0,700,3.52,2
"1555",1,540,3.78,2
"1556",1,760,2.81,1
"1557",0,700,3.27,2
"1558",0,720,3.31,1
"1559",1,560,3.69,3
"1560",0,720,3.94,3
"1561",1,520,4,1
"1562",1,540,3.49,1
"1563",0,680,3.14,2
"1564",0,460,3.44,2
"1565",1,560,3.36,1
"1566",0,480,2.78,3
"1567",0,460,2.93,3
"1568",0,620,3.63,3
"1569",0,580,4,1
"1570",0,800,3.89,2
"1571",1,540,3.77,2
"1572",1,680,3.76,3
"1573",1,680,2.42,1
"1574",1,620,3.37,1
"1575",0,560,3.78,2
"1576",0,560,3.49,4
"1577",0,620,3.63,2
"1578",1,800,4,2
"1579",0,640,3.12,3
"1580",0,540,2.7,2
"1581",0,700,3.65,2
"1582",1,540,3.49,2
"1583",0,540,3.51,2
"1584",0,660,4,1
"1585",1,480,2.62,2
"1586",0,420,3.02,1
"1587",1,740,3.86,2
"1588",0,580,3.36,2
"1589",0,640,3.17,2
"1590",0,640,3.51,2
"1591",1,800,3.05,2
"1592",1,660,3.88,2
"1593",1,600,3.38,3
"1594",1,620,3.75,2
"1595",1,460,3.99,3
"1596",0,620,4,2
"1597",0,560,3.04,3
"1598",0,460,2.63,2
"1599",0,700,3.65,2
"1600",0,600,3.89,3
"1601",0,380,3.61,3
"1602",1,660,3.67,3
"1603",1,800,4,1
"1604",1,640,3.19,4
"1605",0,520,2.93,4
"1606",1,760,3,2
"1607",1,560,2.98,1
"1608",0,400,3.08,2
"1609",1,540,3.39,3
"1610",0,700,3.92,2
"1611",0,800,4,4
"1612",0,440,3.22,1
"1613",1,760,4,1
"1614",0,700,3.08,2
"1615",1,700,4,1
"1616",0,480,3.44,3
"1617",0,780,3.87,4
"1618",0,360,2.56,3
"1619",0,800,3.75,2
"1620",1,540,3.81,1
"1621",0,500,3.17,3
"1622",1,660,3.63,2
"1623",0,600,2.82,4
"1624",0,680,3.19,4
"1625",1,760,3.35,2
"1626",1,800,3.66,1
"1627",1,620,3.61,1
"1628",1,520,3.74,4
"1629",1,780,3.22,2
"1630",0,520,3.29,1
"1631",0,540,3.78,4
"1632",0,760,3.35,3
"1633",0,600,3.4,3
"1634",1,800,4,3
"1635",0,360,3.14,1
"1636",0,400,3.05,2
"1637",0,580,3.25,1
"1638",0,520,2.9,3
"1639",1,500,3.13,2
"1640",1,520,2.68,3
"1641",0,560,2.42,2
"1642",1,580,3.32,2
"1643",1,600,3.15,2
"1644",0,500,3.31,3
"1645",0,700,2.94,2
"1646",1,460,3.45,3
"1647",1,580,3.46,2
"1648",0,500,2.97,4
"1649",0,440,2.48,4
"1650",0,400,3.35,3
"1651",0,640,3.86,3
"1652",0,440,3.13,4
"1653",0,740,3.37,4
"1654",1,680,3.27,2
"1655",0,660,3.34,3
"1656",1,740,4,3
"1657",0,560,3.19,3
"1658",0,380,2.94,3
"1659",0,400,3.65,2
"1660",0,600,2.82,4
"1661",1,620,3.18,2
"1662",0,560,3.32,4
"1663",0,640,3.67,3
"1664",1,680,3.85,3
"1665",0,580,4,3
"1666",0,600,3.59,2
"1667",0,740,3.62,4
"1668",0,620,3.3,1
"1669",0,580,3.69,1
"1670",0,800,3.73,1
"1671",0,640,4,3
"1672",0,300,2.92,4
"1673",0,480,3.39,4
"1674",0,580,4,2
"1675",0,720,3.45,4
"1676",0,720,4,3
"1677",0,560,3.36,3
"1678",1,800,4,3
"1679",0,540,3.12,1
"1680",1,620,4,1
"1681",0,700,2.9,4
"1682",0,620,3.07,2
"1683",0,500,2.71,2
"1684",0,380,2.91,4
"1685",1,500,3.6,3
"1686",0,520,2.98,2
"1687",0,600,3.32,2
"1688",0,600,3.48,2
"1689",0,700,3.28,1
"1690",1,660,4,2
"1691",0,700,3.83,2
"1692",1,720,3.64,1
"1693",0,800,3.9,2
"1694",0,580,2.93,2
"1695",1,660,3.44,2
"1696",0,660,3.33,2
"1697",0,640,3.52,4
"1698",0,480,3.57,2
"1699",0,700,2.88,2
"1700",0,400,3.31,3
"1701",0,340,3.15,3
"1702",0,580,3.57,3
"1703",0,380,3.33,4
"1704",0,540,3.94,3
"1705",1,660,3.95,2
"1706",1,740,2.97,2
"1707",1,700,3.56,1
"1708",0,480,3.13,2
"1709",0,400,2.93,3
"1710",0,480,3.45,2
"1711",0,680,3.08,4
"1712",0,420,3.41,4
"1713",0,360,3,3
"1714",0,600,3.22,1
"1715",0,720,3.84,3
"1716",0,620,3.99,3
"1717",1,440,3.45,2
"1718",0,700,3.72,2
"1719",1,800,3.7,1
"1720",0,340,2.92,3
"1721",1,520,3.74,2
"1722",1,480,2.67,2
"1723",0,520,2.85,3
"1724",0,500,2.98,3
"1725",0,720,3.88,3
"1726",0,540,3.38,4
"1727",1,600,3.54,1
"1728",0,740,3.74,4
"1729",0,540,3.19,2
"1730",0,460,3.15,4
"1731",1,620,3.17,2
"1732",0,640,2.79,2
"1733",0,580,3.4,2
"1734",0,500,3.08,3
"1735",0,560,2.95,2
"1736",0,500,3.57,3
"1737",0,560,3.33,4
"1738",0,700,4,3
"1739",0,620,3.4,2
"1740",1,600,3.58,1
"1741",0,640,3.93,2
"1742",1,700,3.52,4
"1743",0,620,3.94,4
"1744",0,580,3.4,3
"1745",0,580,3.4,4
"1746",0,380,3.43,3
"1747",0,480,3.4,2
"1748",0,560,2.71,3
"1749",1,480,2.91,1
"1750",0,740,3.31,1
"1751",1,800,3.74,1
"1752",0,400,3.38,2
"1753",1,640,3.94,2
"1754",0,580,3.46,3
"1755",0,620,3.69,3
"1756",1,580,2.86,4
"1757",0,560,2.52,2
"1758",1,480,3.58,1
"1759",0,660,3.49,2
"1760",0,700,3.82,3
"1761",0,600,3.13,2
"1762",0,640,3.5,2
"1763",1,700,3.56,2
"1764",0,520,2.73,2
"1765",0,580,3.3,2
"1766",0,700,4,1
"1767",0,440,3.24,4
"1768",0,720,3.77,3
"1769",0,500,4,3
"1770",0,600,3.62,3
"1771",0,400,3.51,3
"1772",0,540,2.81,3
"1773",0,680,3.48,3
"1774",1,800,3.43,2
"1775",0,500,3.53,4
"1776",1,620,3.37,2
"1777",0,520,2.62,2
"1778",1,620,3.23,3
"1779",0,620,3.33,3
"1780",0,300,3.01,3
"1781",0,620,3.78,3
"1782",0,500,3.88,4
"1783",0,700,4,2
"1784",1,540,3.84,2
"1785",0,500,2.79,4
"1786",0,800,3.6,2
"1787",0,560,3.61,3
"1788",0,580,2.88,2
"1789",0,560,3.07,2
"1790",0,500,3.35,2
"1791",1,640,2.94,2
"1792",0,800,3.54,3
"1793",0,640,3.76,3
"1794",0,380,3.59,4
"1795",1,600,3.47,2
"1796",0,560,3.59,2
"1797",0,660,3.07,3
"1798",1,400,3.23,4
"1799",0,600,3.63,3
"1800",0,580,3.77,4
"1801",0,800,3.31,3
"1802",1,580,3.2,2
"1803",1,700,4,1
"1804",0,420,3.92,4
"1805",1,600,3.89,1
"1806",1,780,3.8,3
"1807",0,740,3.54,1
"1808",1,640,3.63,1
"1809",0,540,3.16,3
"1810",0,580,3.5,2
"1811",0,740,3.34,4
"1812",0,580,3.02,2
"1813",0,460,2.87,2
"1814",0,640,3.38,3
"1815",1,600,3.56,2
"1816",1,660,2.91,3
"1817",0,340,2.9,1
"1818",1,460,3.64,1
"1819",0,460,2.98,1
"1820",1,560,3.59,2
"1821",0,540,3.28,3
"1822",0,680,3.99,3
"1823",1,480,3.02,1
"1824",0,800,3.47,3
"1825",0,800,2.9,2
"1826",1,720,3.5,3
"1827",0,620,3.58,2
"1828",0,540,3.02,4
"1829",0,480,3.43,2
"1830",1,720,3.42,2
"1831",0,580,3.29,4
"1832",0,600,3.28,3
"1833",0,380,3.38,2
"1834",0,420,2.67,3
"1835",1,800,3.53,1
"1836",0,620,3.05,2
"1837",1,660,3.49,2
"1838",0,480,4,2
"1839",0,500,2.86,4
"1840",0,700,3.45,3
"1841",0,440,2.76,2
"1842",1,520,3.81,1
"1843",1,680,2.96,3
"1844",0,620,3.22,2
"1845",0,540,3.04,1
"1846",0,800,3.91,3
"1847",0,680,3.34,2
"1848",0,440,3.17,2
"1849",0,680,3.64,3
"1850",0,640,3.73,3
"1851",0,660,3.31,4
"1852",0,620,3.21,4
"1853",1,520,4,2
"1854",1,540,3.55,4
"1855",1,740,3.52,4
"1856",0,640,3.35,3
"1857",1,520,3.3,2
"1858",1,620,3.95,3
"1859",0,520,3.51,2
"1860",0,640,3.81,2
"1861",0,680,3.11,2
"1862",0,440,3.15,2
"1863",1,520,3.19,3
"1864",1,620,3.95,3
"1865",1,520,3.9,3
"1866",0,380,3.34,3
"1867",0,560,3.24,4
"1868",1,600,3.64,3
"1869",1,680,3.46,2
"1870",0,500,2.81,3
"1871",1,640,3.95,2
"1872",0,540,3.33,3
"1873",1,680,3.67,2
"1874",0,660,3.32,1
"1875",0,520,3.12,2
"1876",1,600,2.98,2
"1877",0,460,3.77,3
"1878",1,580,3.58,1
"1879",1,680,3,4
"1880",1,660,3.14,2
"1881",0,660,3.94,2
"1882",0,360,3.27,3
"1883",0,660,3.45,4
"1884",0,520,3.1,4
"1885",1,440,3.39,2
"1886",0,600,3.31,4
"1887",1,800,3.22,1
"1888",1,660,3.7,4
"1889",0,800,3.15,4
"1890",0,420,2.26,4
"1891",1,620,3.45,2
"1892",0,800,2.78,2
"1893",0,680,3.7,2
"1894",0,800,3.97,1
"1895",0,480,2.55,1
"1896",0,520,3.25,3
"1897",0,560,3.16,1
"1898",0,460,3.07,2
"1899",0,540,3.5,2
"1900",0,720,3.4,3
"1901",0,640,3.3,2
"1902",1,660,3.6,3
"1903",1,400,3.15,2
"1904",1,680,3.98,2
"1905",0,220,2.83,3
"1906",0,580,3.46,4
"1907",1,540,3.17,1
"1908",0,580,3.51,2
"1909",0,540,3.13,2
"1910",0,440,2.98,3
"1911",0,560,4,3
"1912",0,660,3.67,2
"1913",0,660,3.77,3
"1914",1,520,3.65,4
"1915",0,540,3.46,4
"1916",1,300,2.84,2
"1917",1,340,3,2
"1918",1,780,3.63,4
"1919",1,480,3.71,4
"1920",0,540,3.28,1
"1921",0,460,3.14,3
"1922",0,460,3.58,2
"1923",0,500,3.01,4
"1924",0,420,2.69,2
"1925",0,520,2.7,3
"1926",0,680,3.9,1
"1927",0,680,3.31,2
"1928",1,560,3.48,2
"1929",0,580,3.34,2
"1930",0,500,2.93,4
"1931",0,740,4,3
"1932",0,660,3.59,3
"1933",0,420,2.96,1
"1934",0,560,3.43,3
"1935",1,460,3.64,3
"1936",1,620,3.71,1
"1937",0,520,3.15,3
"1938",0,620,3.09,4
"1939",0,540,3.2,1
"1940",1,660,3.47,3
"1941",0,500,3.23,4
"1942",1,560,2.65,3
"1943",0,500,3.95,4
"1944",0,580,3.06,2
"1945",0,520,3.35,3
"1946",0,500,3.03,3
"1947",0,600,3.35,2
"1948",0,580,3.8,2
"1949",0,400,3.36,2
"1950",0,620,2.85,2
"1951",1,780,4,2
"1952",0,620,3.43,3
"1953",1,580,3.12,3
"1954",0,700,3.52,2
"1955",1,540,3.78,2
"1956",1,760,2.81,1
"1957",0,700,3.27,2
"1958",0,720,3.31,1
"1959",1,560,3.69,3
"1960",0,720,3.94,3
"1961",1,520,4,1
"1962",1,540,3.49,1
"1963",0,680,3.14,2
"1964",0,460,3.44,2
"1965",1,560,3.36,1
"1966",0,480,2.78,3
"1967",0,460,2.93,3
"1968",0,620,3.63,3
"1969",0,580,4,1
"1970",0,800,3.89,2
"1971",1,540,3.77,2
"1972",1,680,3.76,3
"1973",1,680,2.42,1
"1974",1,620,3.37,1
"1975",0,560,3.78,2
"1976",0,560,3.49,4
"1977",0,620,3.63,2
"1978",1,800,4,2
"1979",0,640,3.12,3
"1980",0,540,2.7,2
"1981",0,700,3.65,2
"1982",1,540,3.49,2
"1983",0,540,3.51,2
"1984",0,660,4,1
"1985",1,480,2.62,2
"1986",0,420,3.02,1
"1987",1,740,3.86,2
"1988",0,580,3.36,2
"1989",0,640,3.17,2
"1990",0,640,3.51,2
"1991",1,800,3.05,2
"1992",1,660,3.88,2
"1993",1,600,3.38,3
"1994",1,620,3.75,2
"1995",1,460,3.99,3
"1996",0,620,4,2
"1997",0,560,3.04,3
"1998",0,460,2.63,2
"1999",0,700,3.65,2
"2000",0,600,3.89,3
"2001",0,380,3.61,3
"2002",1,660,3.67,3
"2003",1,800,4,1
"2004",1,640,3.19,4
"2005",0,520,2.93,4
"2006",1,760,3,2
"2007",1,560,2.98,1
"2008",0,400,3.08,2
"2009",1,540,3.39,3
"2010",0,700,3.92,2
"2011",0,800,4,4
"2012",0,440,3.22,1
"2013",1,760,4,1
"2014",0,700,3.08,2
"2015",1,700,4,1
"2016",0,480,3.44,3
"2017",0,780,3.87,4
"2018",0,360,2.56,3
"2019",0,800,3.75,2
"2020",1,540,3.81,1
"2021",0,500,3.17,3
"2022",1,660,3.63,2
"2023",0,600,2.82,4
"2024",0,680,3.19,4
"2025",1,760,3.35,2
"2026",1,800,3.66,1
"2027",1,620,3.61,1
"2028",1,520,3.74,4
"2029",1,780,3.22,2
"2030",0,520,3.29,1
"2031",0,540,3.78,4
"2032",0,760,3.35,3
"2033",0,600,3.4,3
"2034",1,800,4,3
"2035",0,360,3.14,1
"2036",0,400,3.05,2
"2037",0,580,3.25,1
"2038",0,520,2.9,3
"2039",1,500,3.13,2
"2040",1,520,2.68,3
"2041",0,560,2.42,2
"2042",1,580,3.32,2
"2043",1,600,3.15,2
"2044",0,500,3.31,3
"2045",0,700,2.94,2
"2046",1,460,3.45,3
"2047",1,580,3.46,2
"2048",0,500,2.97,4
"2049",0,440,2.48,4
"2050",0,400,3.35,3
"2051",0,640,3.86,3
"2052",0,440,3.13,4
"2053",0,740,3.37,4
"2054",1,680,3.27,2
"2055",0,660,3.34,3
"2056",1,740,4,3
"2057",0,560,3.19,3
"2058",0,380,2.94,3
"2059",0,400,3.65,2
"2060",0,600,2.82,4
"2061",1,620,3.18,2
"2062",0,560,3.32,4
"2063",0,640,3.67,3
"2064",1,680,3.85,3
"2065",0,580,4,3
"2066",0,600,3.59,2
"2067",0,740,3.62,4
"2068",0,620,3.3,1
"2069",0,580,3.69,1
"2070",0,800,3.73,1
"2071",0,640,4,3
"2072",0,300,2.92,4
"2073",0,480,3.39,4
"2074",0,580,4,2
"2075",0,720,3.45,4
"2076",0,720,4,3
"2077",0,560,3.36,3
"2078",1,800,4,3
"2079",0,540,3.12,1
"2080",1,620,4,1
"2081",0,700,2.9,4
"2082",0,620,3.07,2
"2083",0,500,2.71,2
"2084",0,380,2.91,4
"2085",1,500,3.6,3
"2086",0,520,2.98,2
"2087",0,600,3.32,2
"2088",0,600,3.48,2
"2089",0,700,3.28,1
"2090",1,660,4,2
"2091",0,700,3.83,2
"2092",1,720,3.64,1
